id,x,y
0,716,391
1,719,352
2,717,366
3,707,315
4,719,339
5,718,324
6,716,290
7,627,293
8,715,262
9,715,246
10,714,190
11,716,397
12,716,402
13,715,405
14,715,408
15,715,413
16,715,419
17,715,427
18,713,439
19,718,359
20,707,359
21,582,250
22,661,303
23,649,304
24,638,303
25,622,297
26,671,299
27,646,274
28,658,275
29,635,276
30,627,279
31,613,304
32,668,460
33,623,291
34,578,301
35,600,296
36,655,347
37,702,389
38,703,402
39,686,394
40,676,401
41,692,404
42,683,406
43,661,421
44,709,352
45,708,340
46,606,263
47,678,318
48,679,351
49,677,345
50,619,347
51,708,326
52,635,249
53,618,253
54,593,227
55,689,260
56,669,279
57,652,410
58,590,412
59,687,357
60,698,361
61,666,410
62,671,409
63,611,245
64,678,356
65,658,250
66,656,239
67,644,196
68,602,235
69,651,216
70,599,258
71,590,254
72,702,397
73,690,400
74,680,403
75,690,360
76,668,410
77,673,411
78,672,408
79,695,352
80,685,405
81,694,405
82,704,404
83,698,439
84,700,426
85,701,418
86,702,411
87,703,407
88,684,408
89,682,409
90,680,413
91,677,417
92,666,388
93,577,356
94,717,362
95,678,408
96,676,409
97,702,366
98,682,364
99,700,364
100,665,325
101,646,333
102,675,351
103,613,208
104,622,222
105,631,238
106,670,428
107,685,243
108,682,216
109,677,191
110,628,301
111,601,312
112,677,296
113,613,281
114,687,310
115,687,345
116,589,321
117,610,320
118,625,323
119,647,322
120,664,317
121,676,311
122,704,294
123,591,345
124,602,279
125,712,358
126,680,329
127,573,303
128,686,304
129,674,352
130,619,291
131,686,338
132,581,383
133,677,292
134,696,331
135,617,435
136,617,450
137,579,351
138,602,420
139,584,276
140,665,472
141,713,361
142,669,338
143,590,299
144,638,297
145,649,298
146,670,414
147,594,369
148,686,488
149,650,474
150,635,464
151,715,217
152,710,490
153,659,297
154,668,295
155,674,293
156,594,277
157,667,287
158,657,286
159,648,286
160,638,287
161,631,289
162,576,274
163,632,295
164,716,374
165,677,380
166,687,355
167,700,375
168,715,277
169,633,450
170,648,461
171,687,479
172,602,434
173,674,290
174,696,311
175,712,481
176,667,482
177,583,376
178,693,407
179,691,410
180,689,415
181,687,422
182,683,434
183,676,408
184,672,407
185,669,405
186,657,398
